,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total_Traded_Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
152,TCS,EQ,2017-12-20,2575.3,2582.0,2592.75,2550.65,2592.0,2588.95,2573.6,788785,2030017076.0,68386,530550,67.26,12,2017,0.5300353356890275,Slight Positive
153,TCS,EQ,2017-12-21,2588.95,2587.0,2608.0,2580.05,2582.1,2595.7,2595.09,646824,1678566494.16,40095,439879,68.01,12,2017,0.2607234593174912,Slight or No change
154,TCS,EQ,2017-12-22,2595.7,2604.0,2663.9,2590.2,2640.0,2646.75,2636.33,1832832,4831949986.559999,85852,757097,41.31,12,2017,1.9667141811457567,Positive
155,TCS,EQ,2017-12-26,2646.75,2686.0,2689.75,2631.6,2650.35,2649.45,2653.61,1087893,2886843743.73,52053,517570,47.58,12,2017,0.10201190138849903,Slight or No change
156,TCS,EQ,2017-12-27,2649.45,2649.45,2658.5,2610.5,2617.0,2619.9,2632.21,369642,972975368.82,20483,142233,38.48,12,2017,-1.1153258223404738,Negative
157,TCS,EQ,2017-12-28,2619.9,2608.8,2653.5,2605.65,2631.0,2626.95,2630.44,1302544,3426263839.36,47992,885214,67.96,12,2017,0.26909424023817685,Slight or No change
158,TCS,EQ,2017-12-29,2626.95,2623.1,2708.9,2618.55,2700.0,2701.2,2677.92,1304771,3494072356.32,51608,757663,58.07,12,2017,2.826471763832572,Positive
159,TCS,EQ,2018-01-01,2701.2,2682.3,2694.8,2635.0,2650.0,2645.6,2654.94,675880,1794420847.2,19464,330691,48.93,1,2018,-2.058344439508364,Negative
160,TCS,EQ,2018-01-02,2645.6,2660.0,2669.6,2620.2,2631.0,2631.2,2641.06,960145,2535800553.7,46813,555820,57.89,1,2018,-0.5442999697611195,Slight negative
161,TCS,EQ,2018-01-03,2631.2,2632.0,2669.0,2631.2,2639.0,2638.65,2649.21,628560,1665187437.6,32104,361072,57.44,1,2018,0.2831407722712065,Slight or No change
